Iteration 1 | Graph sparsity 94.99, model sparsity: 79.99, test accuracy: 0.7960 at epoch 10
Iteration 2 | Graph sparsity 90.23, model sparsity: 63.81, test accuracy: 0.8110 at epoch 9
Iteration 3 | Graph sparsity 85.44, model sparsity: 51.01, test accuracy: 0.8130 at epoch 10
Iteration 4 | Graph sparsity 81.15, model sparsity: 40.76, test accuracy: 0.8160 at epoch 10
Iteration 5 | Graph sparsity 76.82, model sparsity: 32.59, test accuracy: 0.8090 at epoch 13
Iteration 6 | Graph sparsity 72.75, model sparsity: 26.07, test accuracy: 0.8150 at epoch 13
Iteration 7 | Graph sparsity 69.02, model sparsity: 20.63, test accuracy: 0.8160 at epoch 14
Iteration 8 | Graph sparsity 65.40, model sparsity: 16.43, test accuracy: 0.7890 at epoch 8
Iteration 9 | Graph sparsity 62.02, model sparsity: 12.96, test accuracy: 0.8080 at epoch 15
Iteration 10 | Graph sparsity 58.89, model sparsity: 10.32, test accuracy: 0.7960 at epoch 25
Iteration 11 | Graph sparsity 55.81, model sparsity: 8.19, test accuracy: 0.8020 at epoch 20
Iteration 12 | Graph sparsity 53.00, model sparsity: 6.53, test accuracy: 0.8080 at epoch 14
Iteration 13 | Graph sparsity 50.33, model sparsity: 5.22, test accuracy: 0.8070 at epoch 2
Iteration 14 | Graph sparsity 47.78, model sparsity: 4.15, test accuracy: 0.8010 at epoch 15
Iteration 15 | Graph sparsity 45.34, model sparsity: 3.32, test accuracy: 0.8040 at epoch 15
Iteration 16 | Graph sparsity 42.95, model sparsity: 2.65, test accuracy: 0.8040 at epoch 19
Iteration 17 | Graph sparsity 40.60, model sparsity: 2.12, test accuracy: 0.8000 at epoch 10
Iteration 18 | Graph sparsity 38.23, model sparsity: 1.68, test accuracy: 0.7910 at epoch 9
Iteration 19 | Graph sparsity 35.96, model sparsity: 1.35, test accuracy: 0.8050 at epoch 12
Iteration 20 | Graph sparsity 33.83, model sparsity: 1.08, test accuracy: 0.7900 at epoch 19
Iteration 1 | Graph sparsity 94.81, model sparsity: 79.95, test accuracy: 0.7020 at epoch 23
Iteration 2 | Graph sparsity 90.06, model sparsity: 63.88, test accuracy: 0.7080 at epoch 184
Iteration 3 | Graph sparsity 85.31, model sparsity: 50.98, test accuracy: 0.7200 at epoch 0
Iteration 4 | Graph sparsity 80.60, model sparsity: 40.72, test accuracy: 0.7040 at epoch 143
Iteration 5 | Graph sparsity 76.55, model sparsity: 32.46, test accuracy: 0.7010 at epoch 187
Iteration 6 | Graph sparsity 72.58, model sparsity: 25.86, test accuracy: 0.7050 at epoch 43
Iteration 7 | Graph sparsity 68.88, model sparsity: 20.50, test accuracy: 0.7060 at epoch 43
Iteration 8 | Graph sparsity 65.14, model sparsity: 16.37, test accuracy: 0.7060 at epoch 63
Iteration 9 | Graph sparsity 61.61, model sparsity: 12.93, test accuracy: 0.7060 at epoch 72
Iteration 10 | Graph sparsity 58.43, model sparsity: 10.14, test accuracy: 0.7070 at epoch 72
Iteration 11 | Graph sparsity 55.50, model sparsity: 8.10, test accuracy: 0.7060 at epoch 31
Iteration 12 | Graph sparsity 52.54, model sparsity: 6.45, test accuracy: 0.7010 at epoch 36
